2015 C	[0.882588,0.030235,0.063017]
2016 C	[0.845546,0.063547,0.111179]
2017 C	[0.809895,0.059474,0.105969]
2018 C	[0.739474,0.134668,0.161509]
2019 C	[0.650579,0.097056,0.135467]
2020 C	[0.578298,0.102916,0.120249]
2021 C	[0.509044,0.087984,0.095361]
2022 C	[0.814067,0.081397,0.069389]
2023 C	[0.770389,0.107341,0.087708]
2024 C	[0.729247,0.131677,0.101223]
2025 C	[0.77164,0.118978,0.135358]
2026 C	[0.687371,0.155987,0.114033]
2027 C	[0.659612,0.173728,0.100387]
2028 C	[0.622658,0.191548,0.126813]
162 C	[0.858362,0.062154,0.064085]
163 C	[0.799292,0.099221,0.099867]
164 C	[0.748571,0.131922,0.125554]
165 C	[0.710214,0.154303,0.135969]
166 C	[0.636292,0.148633,0.127985]
167 C	[0.578261,0.111853,0.10725]
168 C	[0.417461,0.06683,0.065218]
7576 C	[0.703819,0.081804,0.10136]
7577 C	[0.695331,0.094553,0.114788]
7578 C	[0.659123,0.114792,0.114347]
7579 C	[0.633648,0.141278,0.111263]
7580 C	[0.579844,0.123983,0.091798]
7581 C	[0.478913,0.070031,0.059176]
7582 C	[0.431855,0.034822,0.04034]
2430 C	[0.75402,0.045883,0.072304]
2431 C	[0.730839,0.061687,0.10661]
2432 C	[0.719546,0.074977,0.096708]
2433 C	[0.68676,0.096823,0.093872]
2434 C	[0.694851,0.115502,0.082074]
2435 C	[0.633955,0.088371,0.067641]
2436 C	[0.568789,0.11222,0.076588]
1625 C	[0.813853,0.099884,0.072199]
1635 C	[0.774293,0.124962,0.09251]
1645 C	[0.718534,0.157554,0.123478]
1655 C	[0.672552,0.179717,0.135837]
1665 C	[0.609795,0.159322,0.122291]
1675 C	[0.522966,0.112768,0.09247]
1685 C	[0.445944,0.086443,0.069969]
169 C	[0.844789,0.084885,0.042855]
170 C	[0.766144,0.137975,0.081378]
171 C	[0.699411,0.174459,0.118571]
172 C	[0.665154,0.186184,0.129343]
173 C	[0.588894,0.149853,0.107109]
174 C	[0.475259,0.109068,0.077425]
175 C	[0.400043,0.067145,0.046253]
7583 C	[0.611642,0.105287,0.102772]
7584 C	[0.581129,0.107458,0.100739]
7585 C	[0.572411,0.094542,0.08306]
7586 C	[0.531596,0.085721,0.078907]
7587 C	[0.500222,0.082119,0.071605]
